PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
73603530,UG,BA   ,Bachelor of Arts,8/20/20,BACOM,COMMUNICATION
73083500,UG,ACM  ,Assoc Christian Ministry,8/20/20,ACM,Christian Ministry (SN)
71072540,UG,BA   ,Bachelor of Arts,8/17/21,BAICS,INTERCULTURAL STUDIES
57702050,UG,BS   ,Bachelor of Science,4/30/21,BSMUB,MUSIC BUSINESS
60896710,UG,BS   ,Bachelor of Science,10/31/19,BSDJR,DIGITAL JOURNALISM
60902030,UG,BS   ,Bachelor of Science,12/10/21,BSN,Nursing
45720080,UG,BS   ,Bachelor of Science,8/31/18,BSDJR,DIGITAL JOURNALISM
59021410,UG,BS   ,Bachelor of Science,4/26/19,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
60912670,UG,BS   ,Bachelor of Science,4/26/19,BSLGS,Legal Studies
60915330,UG,BS   ,Bachelor of Science,12/13/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
6586160,UG,BS   ,Bachelor of Science,12/14/18,BSPSY,Psychology
54946290,UG,BS   ,Bachelor of Science,4/26/19,BSLDR,Organizational Leadership
2707880,UG,BS   ,Bachelor of Science,9/10/20,BSMUB,MUSIC BUSINESS
2715860,UG,BS   ,Bachelor of Science,1/31/18,SDBIO,Secondary Biology
100581250,UG,AA   ,Associate of Arts,12/10/21,AAGN,General Education
44641450,UG,BS   ,Bachelor of Science,5/3/22,RNBSN,Nursing (SN)
44644110,UG,BS   ,Bachelor of Science,5/4/18,BSLDR,Organizational Leadership
53911550,UG,BS   ,Bachelor of Science,7/31/19,BSKEX,Kinesiology: Exercise Science
110390,UG,BS   ,Bachelor of Science,5/4/18,SDSSC,Secondary Social Sciences
113050,UG,BS   ,Bachelor of Science,4/26/19,BSGRD,Graphic Design
73626140,UG,BS   ,Bachelor of Science,4/24/20,BSN,Nursing
73628800,UG,BS   ,Bachelor of Science,5/3/22,BSBCT,BROADCASTING
73630130,UG,BA   ,Bachelor of Arts,12/10/21,BADJR,DIGITAL JOURNALISM
73631460,UG,BSW  ,Bachelor of Social Work,4/28/22,BSW,Social Work
65795100,UG,BS   ,Bachelor of Science,8/31/21,BSLDO,Organizational Leadership (SN)
73635450,UG,BA   ,Bachelor of Arts,4/29/22,BABCT,BROADCASTING
73636780,UG,BS   ,Bachelor of Science,2/16/23,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
73648750,UG,BS   ,Bachelor of Science,7/31/23,BSBIM,Biology: Medical Sciences
73650080,UG,BS   ,Bachelor of Science,5/4/22,BSTHM,Tourism & Hospitality Management
73651410,UG,BS   ,Bachelor of Science,4/30/21,BSLGS,Legal Studies
73660720,UG,BS   ,Bachelor of Science,12/10/21,BSCOM,COMMUNICATION
73662050,UG,BS   ,Bachelor of Science,9/21/21,BSSMT,SPORT MANAGEMENT: PHYSICAL EDUCATION
60092060,UG,AML  ,Assoc Min Leadership,12/14/18,AML,Ministerial Leadership (SN)
60947250,UG,BS   ,Bachelor of Science,12/10/20,BSMUB,MUSIC BUSINESS
60948580,UG,BS   ,Bachelor of Science,4/26/19,BSCOM,COMMUNICATION
79508730,UG,BBA  ,Bachelor of Busi Admin,5/2/23,BBA,Business Administration (SN)
5378520,UG,BS   ,Bachelor of Science,12/13/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
5386500,UG,BSW  ,Bachelor of Social Work,5/4/18,BSW,Social Work
87639020,UG,AA   ,Associate of Arts,8/23/23,AAGN,General Education
60976510,UG,BS   ,Bachelor of Science,7/31/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
60984490,UG,BBA  ,Bachelor of Busi Admin,12/10/20,BBA,Business Administration (SN)
61021730,UG,BS   ,Bachelor of Science,12/13/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
80991680,UG,BS   ,Bachelor of Science,4/29/22,BSBIO,General Biology
80997000,UG,BS   ,Bachelor of Science,12/9/21,BSMUB,MUSIC BUSINESS
4867800,UG,BA   ,Bachelor of Arts,4/30/18,BAMUS,Music
7291060,UG,BS   ,Bachelor of Science,6/30/18,BSMUB,MUSIC BUSINESS
