PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
57909530,UG,BS   ,Bachelor of Science,2/28/21,BSCRM,Criminal Justice
51999010,UG,BS   ,Bachelor of Science,5/4/18,BSMNL,MINISTERIAL LEADERSHIP (SN)
50702260,UG,AA   ,Associate of Arts,1/26/23,AAGN,General Education
50706250,UG,BS   ,Bachelor of Science,12/10/20,BSMLM,Ministerial Leadership: Christian Ministry (SN)
50707580,UG,BS   ,Bachelor of Science,4/26/19,BSSMC,SPORT MANAGEMENT: COACHING
52930010,UG,BS   ,Bachelor of Science,5/4/18,BSN,Nursing
66914960,UG,BS   ,Bachelor of Science,4/24/20,BSCRM,Criminal Justice
54071150,UG,BS   ,Bachelor of Science,4/30/21,BSINB,International Business
66926930,UG,BS   ,Bachelor of Science,4/30/21,BSPSY,Psychology
66932250,UG,BS   ,Bachelor of Science,4/30/21,BSLDR,Organizational Leadership
66938900,UG,BS   ,Bachelor of Science,12/8/22,BSKEX,Kinesiology: Exercise Science
66942890,UG,BS   ,Bachelor of Science,12/13/19,BSHUS,Human Services (SN)
